	name	rating	address	url
63	甘釜京燒肉韓食餐酒館 市民店	4.8	臺北市松山區市民大道四段133號	https://ifoodie.tw/restaurant/5f6cac022756dd64f219f64c-%E7%94%98%E9%87%9C%E4%BA%AC%E7%87%92%E8%82%89%E9%9F%93%E9%A3%9F%E9%A4%90%E9%85%92%E9%A4%A8-%E5%B8%82%E6%B0%91%E5%BA%97
64	Schumann's Bistro No. 6 南京店	4.3	臺北市松山區南京東路三段303巷8弄11號	https://ifoodie.tw/restaurant/5de7417a8c906d1d1903367d-Schumann's-Bistro-No
65	ABV Bar & Kitchen 酒精濃度 地中海餐廳	4.7	臺北市大安區光復南路260巷39號	https://ifoodie.tw/restaurant/55b9419940b5e303a1d567eb-ABV-Bar-%26-Kitchen-%E9%85%92%E7%B2%BE
66	Lazy Point	4.4	臺北市內湖區洲子街78號	https://ifoodie.tw/restaurant/5a7ab65f2756dd7bff171fe3-Lazy-Point
67	Hush Taipei 餐酒館	4.6	臺北市大安區市民大道四段34號	https://ifoodie.tw/restaurant/5de4841d8c906d1934df3866-Hush-Taipei-%E9%A4%90%E9%85%92%E9%A4%A8
68	Buckskin Yakiniku 柏克金燒肉屋	4.2	臺北市中山區南京東路二段1號2樓	https://ifoodie.tw/restaurant/5cf621ea23679c0d84a989e2-Buckskin-Yakiniku-%E6%9F%8F%E5%85%8B
69	1492 餐廳	4.3	臺北市大安區樂利路30號	https://ifoodie.tw/restaurant/5f33b1e8d6895d02d46edf04-1492-%E9%A4%90%E5%BB%B3
70	INGE'S Bar&Grill 台北萬豪酒店	4.0	臺北市中山區樂群二路199號20樓	https://ifoodie.tw/restaurant/57d057032756dd05d485aa7d-INGE'S-Bar%26Grill-%E5%8F%B0%E5%8C%97%E8%90%AC
71	歐風館自助餐廳 大倉久和大飯店	4.2	臺北市中山區南京東路一段9號2F	https://ifoodie.tw/restaurant/559d675ac03a103ee86c7135-%E6%AD%90%E9%A2%A8%E9%A4%A8%E8%87%AA%E5%8A%A9%E9%A4%90%E5%BB%B3-%E5%A4%A7%E5%80%89%E4%B9%85%E5%92%8C%E5%A4%A7%E9%A3%AF%E5%BA%97
72	T+T 餐酒館	4.6	臺北市松山區敦化北路165巷11號	https://ifoodie.tw/restaurant/5e72e881d6895d43cf36913d-T%2BT-%E9%A4%90%E9%85%92%E9%A4%A8
73	狗毛 Hair of the Dog	4.8	臺北市大安區延吉街70巷5弄1號	https://ifoodie.tw/restaurant/5f648a1402935e0964178fa2-%E7%8B%97%E6%AF%9B-Hair-of-the-Dog
74	OriginBAR 源	4.8	臺北市松山區南京東路四段133巷5弄31號	https://ifoodie.tw/restaurant/58bef6422756dd732689b439-OriginBAR-%E6%BA%90
75	香色	3.8	臺北市中正區湖口街1之2號	https://ifoodie.tw/restaurant/559dbc52c03a103ee86ca27b-%E9%A6%99%E8%89%B2
76	Green Door	4.5	臺北市中山區德惠街6之1號	https://ifoodie.tw/restaurant/5f71f5ee02935e784fc64621-Green-Door
77	EAST END	4.6	臺北市大安區大安路一段56號3F	https://ifoodie.tw/restaurant/56cc13b22756dd42e0dee5fa-EAST-END
78	竹Ta.ke kowloonbay Shisha 九龍灣會館	4.5	臺北市萬華區成都路27巷8之1號	https://ifoodie.tw/restaurant/5f5f7caa2756dd62f4409344-%E7%AB%B9Ta.ke-kowloonbay-Sh
79	巧哚洋房餐飲坊	4.9	臺北市大安區仁愛路四段345巷5弄17號	https://ifoodie.tw/restaurant/58c2ec222756dd732b89b488-%E5%B7%A7%E5%93%9A%E6%B4%8B%E6%88%BF%E9%A4%90%E9%A3%B2%E5%9D%8A
80	OZ Cafe & Bistro	4.4	臺北市信義區吳興街345號	https://ifoodie.tw/restaurant/5bacb5f2226139127be91eb8-OZ-Cafe-%26-Bistro
81	N-ice Taipei	4.8	臺北市大安區大安路一段31巷42號	https://ifoodie.tw/restaurant/5cee35b623679c11905e2206-N-ice-Taipei
82	Le Kief 菱玖洋服	4.3	臺北市大安區光復南路308巷36號	https://ifoodie.tw/restaurant/599b21f82756dd27fa68e799-Le-Kief-%E8%8F%B1%E7%8E%96%E6%B4%8B%E6%9C%8D
83	幹嘛西班牙餐酒館	4.3	台北市大同區民樂街18號	https://ifoodie.tw/restaurant/584a1fd72756dd074c459376-%E5%B9%B9%E5%98%9B%E8%A5%BF%E7%8F%AD%E7%89%99%E9%A4%90%E9%85%92%E9%A4%A8
84	啜飲室 大安	4.5	臺北市大安區仁愛路四段27巷34號	https://ifoodie.tw/restaurant/55ebf939699b6e2511c573bf-%E5%95%9C%E9%A3%B2%E5%AE%A4-%E5%A4%A7%E5%AE%89
85	紫豔 中餐廳/酒吧 (W Hotel)	4.5	臺北市信義區忠孝東路五段10號31樓	https://ifoodie.tw/restaurant/559d6a5fc03a103ee86c7308-%E7%B4%AB%E8%B1%94-%E4%B8%AD%E9%A4%90%E5%BB%B3%2F%E9%85%92%E5%90%A7-(W-Hotel)
86	東京串門子-Tokyo hot炭火串燒	4.4	臺北市大安區市民大道四段36號	https://ifoodie.tw/restaurant/565604612756dd1d7a1b01ec-%E6%9D%B1%E4%BA%AC%E4%B8%B2%E9%96%80%E5%AD%90-Tokyo-hot%E7%82%AD%E7%81%AB%E4%B8%B2%E7%87%92
87	Ombré	4.5	臺北市大安區復興南路二段130之1號2號柚木旁樓	https://ifoodie.tw/restaurant/5daea21fd6895d1da0cf2eb8-Ombr%C3%A9
88	Wild Donkey 野驢小餐館	4.4	臺北市大安區忠孝東路四段216巷33弄5號	https://ifoodie.tw/restaurant/5d2c456bd6895d68938fc35a-Wild-Donkey-%E9%87%8E%E9%A9%A2%E5%B0%8F%E9%A4%90%E9%A4%A8
